id,name,score,publisher,developer,follow,topic,review,install
766,极恶王-打威鸣舞斗,10,KONAMI,,338,,5
767,糖果果冻传奇,9.7,King,,4465,,22
780,汐留ラブ on air◇女性向け恋愛ゲーム無料！人気乙ゲー,8.0,"Ciagram CO., LTD.",,109,1,26
794,BLEACH Brave Souls,9.3,KLab Global Pte. Ltd.,,26765,361,290
815,天下统一恋之乱 Love Ballad,9.8,"Voltage, Inc.",,247,,8
816,炽热狙击：最好玩的射击游戏 - FPS,5.9,Gameloft,,36231,28,202
830,悬赏RPG,,"DORAKEN, Inc.",,127,,2
833,摸我！懒蛋蛋,8.6,株式会社グッドラックスリー,,2799,3,38
834,BEAT MP3 2.0 - 节奏游戏,8.3,"CREAPPTIVE Co., Ltd.",,13176,18,118
835,WordSearch Japanese Study FREE,,PlasticToolsLab,,10,,1
836,猫咪大战争,9.9,PONOS,,12393,52,149
838,剑与魔法王国 古代女神US,9.6,Marvelous Inc.,,5694,210,159
839,海贼王 寻宝之旅,9.0,BANDAI NAMCO Entertainment Inc.,,12469,44,61
840,七龙珠Z 爆裂大战JP,9.2,BANDAI NAMCO Entertainment Inc.,,30527,395,281
841,质疑：说谎的男人是谁？,9.8,"Voltage, Inc.",,694,1,16
843,创造未来家族图,8.2,NTT DOCOMO,,231,,8
845,Palm Reading Analysis,,PT APPKEY,,,,
846,钓鱼胡克,8.7,mobirix,,6912,4,31
888,疯狂的保姆,,TabTale,,102,,2
892,城市岛屿4：模拟生命大亨 (City Island 4) Sim Town Village,6.9,Sparkling Society ?,,2561,,18
899,Boo & Friends Spot Differences,,Games2win.com,,,,
911,"Angelina's Beauty Salon & Spa",,TutoTOONS,,53,,
919,Pretty Alice Daily Fun,,TutoTOONS,,13,,
946,高达区域战争,7.5,BANDAI NAMCO Entertainment Inc.,,1735,1,11
947,偶像大师 灰姑娘女孩,8.8,mobage,,1985,,13
948,勇者前线,9.3,"Alim Co., Ltd.",,2290,4,50
949,梅露可物语 愈术士与铃之旋律 Merc StoriaJP,10,乐元素科技(北京)股份有限公司,,16602,86,394
991,直升機空襲 - Gunship Strike 3D,,Candy Mobile,,1737,1,3
994,Brick Breaker Hero,,Game Circus LLC,,160,,1
1034,LINE Pokopoko 决战波兔森林,8.9,LINE Corporation,,1143,1,9
1165,模拟器PSP - 免费,6.1,Emulator Emulateur,,5213,1,51
1685,汪星人拼圖,,Gemps,,13,,
1686,仲謀天下 狼煙梟戰,,TurtulGame,,,,
1688,彈彈堂,8.8,8888PLAY,,1617,,22
1689,仙俠奇緣,,9SplayDeveloper,,24,,
1690,星舞時代 熱力Dance,,BIGFISH,,14,,
1691,Garena 雷霆突擊-周年慶改版，隨時隨地都想玩突擊!,6.4,Garena Games Online,,823,2,17
1693,六龍御天,,Inch Interactive Entertainment(TW) Ltd,,207,,3
1694,無限俠想：十四章書傳說,,Pubgame遊戲酒吧,,31,,
1695,石头传奇,,easygame7,,303,,2
1696,超神戰記-GANK! 英雄重返榮耀,8.8,"FunApps Co., Ltd.",,996,3,35
1697,NBA英雄國際版,,Something Big,,95,,4
1701,白猫计划TW,9.2,So-net Entertainment Taiwan,,18134,271,307
1702,Balling 平衡球,8.7,aniFree,,8205,5,59
1703,劍俠異世錄-門派跨服戰來襲,,Ssjj Game,,6,,
1706,Garena 劍與魔法王國-遠古的女神TW,9.2,Garena Games Online,,7860,83,169
1707,三國！這麼玩-神將降臨,,1767Game一起遊戲,,12,,1
1709,我的三国时代-签到送吕布,,天下網遊,,123,,3
1710,Animal Racing Return,,VNESE MPlay,,,,
1711,決戰神魔(聖歌覺醒),,"IWPLAY WORLD INTERACTIVE ENTERTAINMENT TECHNOLOGY CO., LTD.",,70,1,2
1713,最囧游戏2（测试服）,9.4,HyperTextStudio,小鱼科技,367857,1812,6215
1715,魔力寶貝-次元交戰,2.5,"IWPLAY WORLD INTERACTIVE ENTERTAINMENT TECHNOLOGY CO., LTD.",,141,1,10
1716,LINE TOUCH 舞力全開3D,7.3,"IWPLAY WORLD INTERACTIVE ENTERTAINMENT TECHNOLOGY CO., LTD.",,312,,8
1718,古龍群俠傳《遊戲酒吧》,,Pubgame,,157,,4
1721,100 PICS Quiz - free quizzes,,Poptacular,,104,,2
1722,PAC-MAN 256 - 无尽的迷宫,9.3,BANDAI NAMCO Entertainment Europe,,34351,11,156
1723,与偶像团体V6 的秘密恋爱,,CYBIRD&GREE,,96,,6
1726,战斗卡牌,9.3,Kongregate,,47866,120,780
1728,ゆっくり育てていってね！,,MiuLabo,,88,,4
1729,ヘブンストライクライバルズJP,,"SQUARE ENIX Co.,Ltd.",,43,,2
1730,PixelStrategy,,Wadachi,,8,,1
1731,Sweets Maker - Cooking Games,,MWE Games,,4,,
1733,浪荡天涯,8.1,Ketchapp,,4246,1,8
1735,急速仙女,,Suga Studio,,6,,1
1736,跳跳反應王,,Aurora tech Ltd.,,17,,
1737,《COE》武林的紛爭,,陞龍拳數位,,8,,
1738,Count It Up!,,Longo Games,,,,
1740,鬥陣護主公-巔峰對決,,Coco Directouch,,32,,
1743,POCKET FOOTBALLER - 足球選手的育成手遊,,KAYAC Inc.,,16,,1
1744,全民打怪兽,9.1,Netmarble Games,,5034,13,92
1746,挑战巅峰,9.9,NFLY STUDIO,,36441,41,437
1749,Finding Blue Free (KOR),,BigAirSoft,,3541,,2
1750,军团的荣耀 (KR),6.6,Netmarble Games,,846,1,9
1751,"MoBi - 开启预载, 游戏券,开启前登陆",,hungryapp,,3916,,2
1753,Sketch Quiz （我来画你来猜）,5.2,iGene,,6170,,8
1755,英雄军团/ Legion of Heroes,7.9,NEXON Company,,1766,2,14
1758,彈力球,9.9,RAON GAMES,,9421,3,25
1760,Buddy Rush: The Legends,,Company100 Inc.,,15,,
1763,我爱咖啡 for Kakao,7.9,PATI Games Corp.,,1744,,31
1764,"Snake 97': Retro Classic Game",,3g Free,,6,,
1765,癒しのハムスター育成ゲーム,,mozukuapp,,303,,3
1766,"BRAVELY ARCHIVE D's report",10,"SQUARE ENIX Co.,Ltd.",,1048,,10
1767,前女友和现女友JP,9.3,G.Gear.inc,,9776,26,279
1769,このドヤ顔にイラっとしたやつwww,,"GOODROID,Inc.",,71,,4
1770,トレジャーダンジョンRPG,,Kanata,,141,1,4
1771,擬人カノジョ ～理想と現実～【放置育成ゲーム】,,SEEC inc.,,117,,4
1772,狙击3D刺客：射击游戏 《Sniper 3D》,9.2,Fun Games For Free,,124537,92,1661
1775,Hidden Object - Rainbow Free,,Hidden Object World,,,,
1776,Find The Difference 2,,ms.apps,,2,,
1777,忍者熊猫跑酷之中忍考试,,8Square Games,,50,,1
1779,Draw a Stickman: EPIC 2US,9.6,Hitcents,,2106,1,11
1780,Color Switch 2,,Fooly Studios,,14,,
1781,Jewels Link,,appgo,,3,,
