id,name,score,publisher,developer,follow,order,topic,review,install,recommend
647,呆萌小怪物（Best Fiends）- 免费益智游戏,9.4,Seriously Digital Entertainment Ltd.,,13465,,13,384,,yes
665,Bike Rider 3rd Race,,Spicysoft Corporation,,419,,,3,,
670,-リアル闇金ゲーム- お姉さんから1億円回収しろ！,,"GOODROID,Inc.",,41,,,3,,
683,戦闘力診断 - 本当の強さを知れ！Testiiの診断?心理テストシリーズ,,Testii,,42,,,1,,
739,千备忘录！ 【金枪鱼游戏】千回忆[RPG],8.8,Akatsuki Inc.,,1073,,9,33,,
747,妊娠1ヶ月,7.8,Hajime Sumita,,410,,,8,,
758,天空舰队,9,KLab,,746,,3,10,,
766,极恶王-打威鸣舞斗,10,KONAMI,,341,,,5,,
767,糖果果冻传奇,9.7,King,,4518,,,22,,
780,汐留ラブ on air◇女性向け恋愛ゲーム無料！人気乙ゲー,8,"Ciagram CO., LTD.",,110,,1,26,,
794,BLEACH Brave Souls,9.3,KLab Global Pte. Ltd.,,27138,,364,291,,
815,天下统一恋之乱 Love Ballad,9.8,"Voltage, Inc.",,247,,,8,,
816,炽热狙击：最好玩的射击游戏 - FPS,5.9,Gameloft,,36436,,29,203,,
830,悬赏RPG,,"DORAKEN, Inc.",,129,,,2,,
833,摸我！懒蛋蛋,8.6,株式会社グッドラックスリー,,2802,,3,38,,
834,BEAT MP3 2.0 - 节奏游戏,8.3,"CREAPPTIVE Co., Ltd.",,13290,,18,119,,
835,WordSearch Japanese Study FREE,,PlasticToolsLab,,10,,,1,,
836,猫咪大战争,9.9,PONOS,,12486,,52,149,,
838,剑与魔法王国 古代女神US,9.6,Marvelous Inc.,,5780,,214,159,,
839,海贼王 寻宝之旅,9,BANDAI NAMCO Entertainment Inc.,,12603,,44,61,,
840,七龙珠Z 爆裂大战JP,9.2,BANDAI NAMCO Entertainment Inc.,,30660,,396,282,,yes
841,质疑：说谎的男人是谁？,9.8,"Voltage, Inc.",,695,,1,16,,
843,创造未来家族图,8.2,NTT DOCOMO,,233,,,8,,
845,Palm Reading Analysis,,PT APPKEY,,,,,,,
846,钓鱼胡克,8.7,mobirix,,6983,,4,31,,
888,疯狂的保姆,,TabTale,,101,,,2,,
892,城市岛屿4：模拟生命大亨 (City Island 4) Sim Town Village,6.9,Sparkling Society ?,,2647,,,18,,
899,Boo & Friends Spot Differences,,Games2win.com,,,,,,,
911,Angelina's Beauty Salon & Spa,,TutoTOONS,,53,,,,,
919,Pretty Alice Daily Fun,,TutoTOONS,,13,,,,,
946,高达区域战争,7.5,BANDAI NAMCO Entertainment Inc.,,1750,,1,11,,
947,偶像大师 灰姑娘女孩,8.8,mobage,,1995,,,13,,
948,勇者前线,9.3,"Alim Co., Ltd.",,2313,,4,50,,
949,梅露可物语 愈术士与铃之旋律 Merc StoriaJP,10,乐元素科技(北京)股份有限公司,,17154,,87,404,,
991,直升機空襲 - Gunship Strike 3D,,Candy Mobile,,1770,,1,3,,
994,Brick Breaker Hero,,Game Circus LLC,,166,,,1,,
1034,LINE Pokopoko 决战波兔森林,8.9,LINE Corporation,,1148,,1,9,,
1165,模拟器PSP - 免费,6.1,Emulator Emulateur,,5235,,1,51,,
1191,Battle of Warplanes: 战斗机大战,,Extreme Developers,,591,,,7,,
1207,【東方】レミリアラン,9.7,KinoPSoft,,2020,,1,36,,
1208,parasol drive!,,ozumikan,,13,,,,,
1210,Santa's Workshop,,good-place,,,,,,,
1211,W.,,Cybergate Technology Limited,,17,,,1,,
1213,ねこカフェ★特別版★~猫を育てる楽しい育成ゲーム~,,Chronus F Inc.,,58,,,1,,
1225,苍之骑士团（Hortensia Saga）JP,9.6,SEGA,,2249,,8,32,,
1227,Boku & Dragons,7.8,studioking inc.,,256,,,9,,
1228,LINE Rangers : 银河特攻队,9.2,LINE Corporation,,13181,,2,22,,
1229,合奏明星 偶像梦幻祭（日服）JP,9.8,乐元素科技(北京)股份有限公司,,8838,,15,174,,
1230,刀剑神域 代码寄存器,9.3,BANDAI NAMCO Entertainment Inc.,,10544,,81,121,,
1231,钓鱼之星,,"GREE, Inc.",,104,,,1,,
1232,小丑?团伙负荷?[漫画RPG],9.3,株式会社 アプリボット,,260,,2,8,,
